"","Week","State","Age","Not at all","Several days","More than half the days","Nearly every day"
"health2a_week1.xlsx.1","health2a_week1.xlsx","US","Total","78429969","56047243","22580599","33015271"
"health2a_week1.xlsx.2","health2a_week1.xlsx","US","18 - 29","6978539","8733164","4398807","7511490"
"health2a_week1.xlsx.3","health2a_week1.xlsx","US","30 - 39","10985665","10993144","5110150","7211495"
"health2a_week1.xlsx.4","health2a_week1.xlsx","US","40 - 49","12492544","10287667","4344104","6708132"
"health2a_week1.xlsx.5","health2a_week1.xlsx","US","50 - 59","14761501","9793941","3756457","5047110"
"health2a_week1.xlsx.6","health2a_week1.xlsx","US","60 - 69","17973580","10096309","3017546","4596827"
"health2a_week1.xlsx.7","health2a_week1.xlsx","US","70 - 79","11857455","4835538","1503099","1485091"
"health2a_week1.xlsx.8","health2a_week1.xlsx","US","80 and above","3380686","1307479","450437","455126"
"health2a_week1.xlsx.9","health2a_week1.xlsx","AL","Total","1241957","679379","226801","543744"
"health2a_week1.xlsx.10","health2a_week1.xlsx","AL","18 - 29","129247","81432","39517","142703"
"health2a_week1.xlsx.11","health2a_week1.xlsx","AL","30 - 39","152025","130271","38823","97921"
"health2a_week1.xlsx.12","health2a_week1.xlsx","AL","40 - 49","117618","143672","41139","85989"
"health2a_week1.xlsx.13","health2a_week1.xlsx","AL","50 - 59","330906","125158","44476","126253"
"health2a_week1.xlsx.14","health2a_week1.xlsx","AL","60 - 69","334097","122794","17204","54279"
"health2a_week1.xlsx.15","health2a_week1.xlsx","AL","70 - 79","136091","49357","40169","17406"
"health2a_week1.xlsx.16","health2a_week1.xlsx","AL","80 and above","41972","26694","5473","19192"
"health2a_week1.xlsx.17","health2a_week1.xlsx","AK","Total","185386","120206","42325","87011"
"health2a_week1.xlsx.18","health2a_week1.xlsx","AK","18 - 29","11711","22415","11925","23057"
"health2a_week1.xlsx.19","health2a_week1.xlsx","AK","30 - 39","36250","30587","11286","24139"
"health2a_week1.xlsx.20","health2a_week1.xlsx","AK","40 - 49","38416","14885","8030","14046"
"health2a_week1.xlsx.21","health2a_week1.xlsx","AK","50 - 59","35167","25782","4804","9291"
"health2a_week1.xlsx.22","health2a_week1.xlsx","AK","60 - 69","37878","17587","4982","14429"
"health2a_week1.xlsx.23","health2a_week1.xlsx","AK","70 - 79","15659","5883","1157","1866"
"health2a_week1.xlsx.24","health2a_week1.xlsx","AK","80 and above","10304","3066","142","183"
"health2a_week1.xlsx.25","health2a_week1.xlsx","AZ","Total","1824387","1306549","522104","780711"
"health2a_week1.xlsx.26","health2a_week1.xlsx","AZ","18 - 29","127728","164262","106200","149379"
"health2a_week1.xlsx.27","health2a_week1.xlsx","AZ","30 - 39","204959","277399","176601","149914"
"health2a_week1.xlsx.28","health2a_week1.xlsx","AZ","40 - 49","274519","299260","58207","216479"
"health2a_week1.xlsx.29","health2a_week1.xlsx","AZ","50 - 59","354378","189961","70358","107436"
"health2a_week1.xlsx.30","health2a_week1.xlsx","AZ","60 - 69","402970","181036","70720","88313"
"health2a_week1.xlsx.31","health2a_week1.xlsx","AZ","70 - 79","350540","133720","37801","57370"
"health2a_week1.xlsx.32","health2a_week1.xlsx","AZ","80 and above","109294","60912","2218","11819"
"health2a_week1.xlsx.33","health2a_week1.xlsx","AR","Total","763035","450561","236975","319409"
"health2a_week1.xlsx.34","health2a_week1.xlsx","AR","18 - 29","50245","37284","9112","51507"
"health2a_week1.xlsx.35","health2a_week1.xlsx","AR","30 - 39","159782","93811","87574","43098"
"health2a_week1.xlsx.36","health2a_week1.xlsx","AR","40 - 49","133868","101622","30815","84497"
"health2a_week1.xlsx.37","health2a_week1.xlsx","AR","50 - 59","94804","95123","48735","65501"
