"","Week","State","Age","date_start","date_end","More.than.half.the.days","Several.days","Nearly.every.day","Not.at.all"
"1",1,"US","18 - 29",2020-04-23,2020-05-05,331020.106,413044.112,371618.138,529035.505
"2",1,"US","30 - 39",2020-04-23,2020-05-05,269956.572,387503.135,289450.132,413278.07
"3",1,"US","40 - 49",2020-04-23,2020-05-05,219193.758,281009.302,304518.277,364502.441
"4",1,"AL","18 - 29",2020-04-23,2020-05-05,34618.651,61764.922,25891.469,23770.012
"5",1,"AL","30 - 39",2020-04-23,2020-05-05,15716.874,56391.184,24141.827,38610.817
"6",1,"AL","40 - 49",2020-04-23,2020-05-05,22119.457,42719.165,17782.966,32933.279
"7",1,"AK","18 - 29",2020-04-23,2020-05-05,2475.992,4455.991,2609.528,4666.134
"8",1,"AK","30 - 39",2020-04-23,2020-05-05,1700.566,4092.923,3516.097,4279.013
"9",1,"AK","40 - 49",2020-04-23,2020-05-05,1914.175,3144.239,2624.762,3534.192
"10",1,"AZ","18 - 29",2020-04-23,2020-05-05,68395.366,37357.956,56789.673,31609.435
"11",1,"AZ","30 - 39",2020-04-23,2020-05-05,25507.126,66436.503,35217.761,59183.076
"12",1,"AZ","40 - 49",2020-04-23,2020-05-05,17171.135,34978.569,25885.748,43758.531
"13",1,"AR","18 - 29",2020-04-23,2020-05-05,14472.438,14637.194,15167.511,25194.38
"14",1,"AR","30 - 39",2020-04-23,2020-05-05,30001.133,28762.861,34222.837,25377.877
"15",1,"AR","40 - 49",2020-04-23,2020-05-05,9587.253,23135.097,17153.102,17148.619
"16",1,"CA","18 - 29",2020-04-23,2020-05-05,146607.421,248252.376,203136.758,224463.786
"17",1,"CA","30 - 39",2020-04-23,2020-05-05,114449.534,186012.277,143293.817,183323.653
"18",1,"CA","40 - 49",2020-04-23,2020-05-05,81087.63,190971.333,102632.275,197079.355
"19",1,"CO","18 - 29",2020-04-23,2020-05-05,23183.731,37441.61,35186.797,56790.453
"20",1,"CO","30 - 39",2020-04-23,2020-05-05,20252.619,46790.804,23625.028,45993.28
"21",1,"CO","40 - 49",2020-04-23,2020-05-05,20565.705,26004.107,19160.571,30626.454
"22",1,"CT","18 - 29",2020-04-23,2020-05-05,33613.217,37129.685,16158.981,17170.563
"23",1,"CT","30 - 39",2020-04-23,2020-05-05,15648.946,26175.393,15972.248,24060.999
"24",1,"CT","40 - 49",2020-04-23,2020-05-05,11036.795,17149.601,16312.566,19781.036
"25",1,"DE","18 - 29",2020-04-23,2020-05-05,6286.391,6122.511,7366.116,7875.946
"26",1,"DE","30 - 39",2020-04-23,2020-05-05,8311.13,6374.245,4498.994,8089.505
"27",1,"DE","40 - 49",2020-04-23,2020-05-05,2835.405,5405.085,8588.642,5322.235
"28",1,"DC","18 - 29",2020-04-23,2020-05-05,2539.563,8182.567,4113.895,4155.307
