"","Week","State","Age","date_start","date_end","More.than.half.the.days","Several.days","Nearly.every.day","Not.at.all","Response"
"1",1,"US","18 - 29",2020-04-23,2020-05-05,6427961,12500948,8016041,9484934,0.656967139185046
"2",1,"US","30 - 39",2020-04-23,2020-05-05,6629491,16142871,8310347,13803275,0.498890174381705
"3",1,"US","40 - 49",2020-04-23,2020-05-05,5495201,13353089,6999710,12744711,0.478772578531524
"4",1,"AL","18 - 29",2020-04-23,2020-05-05,80445,221904,99753,125262,0.519054285269871
"5",1,"AL","30 - 39",2020-04-23,2020-05-05,71302,270984,99754,227455,0.343183418632972
"6",1,"AL","40 - 49",2020-04-23,2020-05-05,75436,179800,80595,266582,0.349545904628771
"7",1,"AK","18 - 29",2020-04-23,2020-05-05,12667,31805,13926,33065,0.409942962848774
"8",1,"AK","30 - 39",2020-04-23,2020-05-05,10178,41854,21649,31684,0.432796649351356
"9",1,"AK","40 - 49",2020-04-23,2020-05-05,8971,29231,15364,26915,0.433423574252841
"10",1,"AZ","18 - 29",2020-04-23,2020-05-05,230161,238875,180013,172026,0.998230717374745
"11",1,"AZ","30 - 39",2020-04-23,2020-05-05,129934,367437,143750,335725,0.38921898509874
"12",1,"AZ","40 - 49",2020-04-23,2020-05-05,131648,307129,113022,317834,0.39149517651445
"13",1,"AR","18 - 29",2020-04-23,2020-05-05,48149,68634,51516,73962,0.698932648882157
"14",1,"AR","30 - 39",2020-04-23,2020-05-05,97503,139695,126539,112981,0.886677009292533
"15",1,"AR","40 - 49",2020-04-23,2020-05-05,38933,136470,71766,110119,0.448921079204669
"16",1,"CA","18 - 29",2020-04-23,2020-05-05,943100,1843952,1160682,1433435,0.641908325138289
"17",1,"CA","30 - 39",2020-04-23,2020-05-05,809508,1988106,955379,1542637,0.49986277675832
"18",1,"CA","40 - 49",2020-04-23,2020-05-05,521708,1796109,739872,1495640,0.383255223894653
"19",1,"CO","18 - 29",2020-04-23,2020-05-05,93813,182339,203376,247185,0.691903129976439
"20",1,"CO","30 - 39",2020-04-23,2020-05-05,139310,313337,169614,243595,0.554688902774486
"21",1,"CO","40 - 49",2020-04-23,2020-05-05,103122,258728,148877,180513,0.573714657784679
"22",1,"CT","18 - 29",2020-04-23,2020-05-05,74696,109239,40086,60383,0.676692881819575
"23",1,"CT","30 - 39",2020-04-23,2020-05-05,70524,204848,81329,138569,0.442182536100426
"24",1,"CT","40 - 49",2020-04-23,2020-05-05,38647,132834,97787,123409,0.532439910553654
"25",1,"DE","18 - 29",2020-04-23,2020-05-05,14229,22255,18552,30166,0.625340989298182
"26",1,"DE","30 - 39",2020-04-23,2020-05-05,23013,47176,20670,36064,0.524783757808746
"27",1,"DE","40 - 49",2020-04-23,2020-05-05,12689,38219,30501,29482,0.637952172050634
"28",1,"DC","18 - 29",2020-04-23,2020-05-05,7211,30112,15225,11147,0.543784386436899
"29",1,"DC","30 - 39",2020-04-23,2020-05-05,32586,84464,26998,48655,0.447599516222327
"30",1,"DC","40 - 49",2020-04-23,2020-05-05,12737,20532,19873,18863,0.827770021576342
"31",1,"FL","18 - 29",2020-04-23,2020-05-05,492155,574567,554432,606900,0.885836845210234
"32",1,"FL","30 - 39",2020-04-23,2020-05-05,290365,875811,447886,1112630,0.371271262260233
"33",1,"FL","40 - 49",2020-04-23,2020-05-05,373653,825669,462043,1101755,0.433581816974366
"34",1,"GA","18 - 29",2020-04-23,2020-05-05,238802,381039,202497,203596,0.754828226158201
"35",1,"GA","30 - 39",2020-04-23,2020-05-05,117111,452486,285046,654824,0.363183751614272
"36",1,"GA","40 - 49",2020-04-23,2020-05-05,265474,374947,299612,406617,0.723019484008987
"37",1,"HI","18 - 29",2020-04-23,2020-05-05,1851,41416,11644,12611,0.249782516149333
"38",1,"HI","30 - 39",2020-04-23,2020-05-05,82733,75577,29495,45885,0.923976223016252
"39",1,"HI","40 - 49",2020-04-23,2020-05-05,34788,60180,26412,53414,0.538760850044897
"40",1,"ID","18 - 29",2020-04-23,2020-05-05,42828,70288,28878,85757,0.459521291935019
"41",1,"ID","30 - 39",2020-04-23,2020-05-05,35689,89147,34183,79031,0.41546456730369
"42",1,"ID","40 - 49",2020-04-23,2020-05-05,38062,68203,26165,83846,0.422409881025196
"43",1,"IL","18 - 29",2020-04-23,2020-05-05,263150,418373,304513,239451,0.862940543367223
