"State","hitdiffs","date_end","anxdiffs"
"AK",6,2020-05-17,-0.147601833000378
"AK",-4,2020-05-24,0.363180988834407
"AK",21,2020-05-31,-0.106921987904972
"AK",-3,2020-06-07,-0.10631091694521
"AK",-2,2020-06-14,0.69534602779652
"AK",-28,2020-06-21,-0.311567726971764
"AK",8,2020-06-28,-0.460997013002595
"AK",3,2020-07-05,-0.024156522385124
"AK",-5,2020-07-12,-0.010379360683515
"AK",3,2020-07-19,-0.00340490655450104
"AK",24,2020-07-26,0.010590051572838
"AK",0,2020-08-02,0.00848828622895198
"AK",-27,2020-08-09,0.00848828622895098
"AK",-4,2020-08-16,0.00848828622895204
"AK",-12,2020-08-23,0.00848828622895098
"AK",4,2020-08-30,0.00848828622895098
"AK",11,2020-09-06,0.066405139648244
"AK",-6,2020-09-13,0.07605794855146
"AK",-5,2020-09-20,0.013827210374396
"AK",34,2020-09-27,0.00345542067822002
"AK",-15,2020-10-04,0.035693426084377
"AK",-10,2020-10-11,0.041066426985404
"AK",5,2020-10-18,-0.023842505887821
"AK",12,2020-10-25,-0.034660661366691
"AK",5,2020-11-01,-0.00081348256278102
"AK",-17,2020-11-08,0.00482771390453607
"AK",-3,2020-11-15,0.346824853498699
"AK",8,2020-11-22,0.403824376764391
"AK",7,2020-11-29,-0.00910928248537002
"AK",-17,2020-12-06,-0.07793155902699
"AK",14,2020-12-13,-0.14228409413988
"AK",-13,2020-12-20,-0.1530095166587
"AK",-7,2020-12-27,-0.0015200650229199
"AK",11,2021-01-03,0.02372817691638
"AK",18,2021-01-10,0.02372817691637
"AK",-8,2021-01-17,0.02372817691638
"AK",-22,2021-01-24,-0.153163120640954
"AK",8,2021-01-31,-0.182645003567173
"AK",4,2021-02-07,-0.032584680533623
"AK",-3,2021-02-14,-0.00757462669469899
"AK",-3,2021-02-21,-0.0852517154799021
"AK",-18,2021-02-28,-0.098197896944103
"AK",10,2021-03-07,0.090890479009328
"AK",5,2021-03-14,0.122405208334901
"AK",-12,2021-03-21,0.133189907854959
"AK",-1,2021-03-28,0.134987357774966
"AL",0,2020-05-17,-0.306280575185245
"AL",-5,2020-05-24,-0.190494785217348
"AL",0,2020-05-31,-0.0603315489790969
"AL",-2,2020-06-07,0.164572667879935
"AL",-10,2020-06-14,0.14864798576118
"AL",4,2020-06-21,-0.245631112305966
"AL",9,2020-06-28,-0.036308507779173
"AL",10,2020-07-05,-0.0487907977696529
"AL",-1,2020-07-12,0.004499302548928
"AL",-8,2020-07-19,0.180032139430041
"AL",3,2020-07-26,0.0426794899688041
"AL",5,2020-08-02,-0.033054024100989
"AL",-15,2020-08-09,-0.033054024100988
"AL",-8,2020-08-16,-0.033054024100989
"AL",3,2020-08-23,-0.033054024100989
"AL",0,2020-08-30,-0.033054024100989
"AL",4,2020-09-06,0.134632390311104
"AL",2,2020-09-13,0.162580126046452
"AL",-14,2020-09-20,-0.0543088751831829
"AL",1,2020-09-27,-0.090457042054788
"AL",-1,2020-10-04,0.0761281424320279
"AL",-2,2020-10-11,0.103892339846497
"AL",4,2020-10-18,-0.154357702866497
"AL",-2,2020-10-25,-0.197399376651996
"AL",-5,2020-11-01,0.218026163249252
"AL",2,2020-11-08,0.287263753232789
"AL",-4,2020-11-15,0.03118227007218
"AL",8,2020-11-22,-0.01149797712127
"AL",10,2020-11-29,-0.252667057627791
"AL",-1,2020-12-06,-0.29286190437888
