"location","hits","keyword","geo","gprop","date_end"
"South Dakota",100,"covid","US","web","2020-05-10"
"Minnesota",99,"covid","US","web","2020-05-10"
"Vermont",97,"covid","US","web","2020-05-10"
"Iowa",93,"covid","US","web","2020-05-10"
"New Hampshire",91,"covid","US","web","2020-05-10"
"Nebraska",91,"covid","US","web","2020-05-10"
"Illinois",88,"covid","US","web","2020-05-10"
"Montana",85,"covid","US","web","2020-05-10"
"Massachusetts",82,"covid","US","web","2020-05-10"
"Oregon",81,"covid","US","web","2020-05-10"
"Colorado",81,"covid","US","web","2020-05-10"
"New Mexico",80,"covid","US","web","2020-05-10"
"Michigan",78,"covid","US","web","2020-05-10"
"Alaska",77,"covid","US","web","2020-05-10"
"Wisconsin",77,"covid","US","web","2020-05-10"
"Maine",76,"covid","US","web","2020-05-10"
"Hawaii",74,"covid","US","web","2020-05-10"
"Rhode Island",73,"covid","US","web","2020-05-10"
"Wyoming",72,"covid","US","web","2020-05-10"
"Pennsylvania",72,"covid","US","web","2020-05-10"
"New Jersey",71,"covid","US","web","2020-05-10"
"Connecticut",71,"covid","US","web","2020-05-10"
"Washington",70,"covid","US","web","2020-05-10"
"Kansas",70,"covid","US","web","2020-05-10"
"Arizona",70,"covid","US","web","2020-05-10"
"Maryland",70,"covid","US","web","2020-05-10"
"Virginia",70,"covid","US","web","2020-05-10"
"Utah",69,"covid","US","web","2020-05-10"
"California",67,"covid","US","web","2020-05-10"
"Delaware",66,"covid","US","web","2020-05-10"
"New York",66,"covid","US","web","2020-05-10"
"Nevada",65,"covid","US","web","2020-05-10"
"West Virginia",65,"covid","US","web","2020-05-10"
"North Dakota",64,"covid","US","web","2020-05-10"
"Kentucky",64,"covid","US","web","2020-05-10"
"Indiana",64,"covid","US","web","2020-05-10"
"Idaho",63,"covid","US","web","2020-05-10"
"Arkansas",60,"covid","US","web","2020-05-10"
"Missouri",60,"covid","US","web","2020-05-10"
"Georgia",60,"covid","US","web","2020-05-10"
"Tennessee",60,"covid","US","web","2020-05-10"
"North Carolina",59,"covid","US","web","2020-05-10"
"Ohio",59,"covid","US","web","2020-05-10"
"Texas",58,"covid","US","web","2020-05-10"
"Florida",57,"covid","US","web","2020-05-10"
"Alabama",55,"covid","US","web","2020-05-10"
"Oklahoma",52,"covid","US","web","2020-05-10"
"South Carolina",51,"covid","US","web","2020-05-10"
"Mississippi",49,"covid","US","web","2020-05-10"
"Louisiana",47,"covid","US","web","2020-05-10"
"Vermont",100,"covid","US","web","2020-05-17"
"Minnesota",99,"covid","US","web","2020-05-17"
"New Hampshire",95,"covid","US","web","2020-05-17"
"South Dakota",92,"covid","US","web","2020-05-17"
"New Mexico",89,"covid","US","web","2020-05-17"
"Nebraska",86,"covid","US","web","2020-05-17"
"Iowa",85,"covid","US","web","2020-05-17"
"Maine",85,"covid","US","web","2020-05-17"
"Massachusetts",85,"covid","US","web","2020-05-17"
"Illinois",84,"covid","US","web","2020-05-17"
"Alaska",83,"covid","US","web","2020-05-17"
"Wisconsin",83,"covid","US","web","2020-05-17"
"Washington",80,"covid","US","web","2020-05-17"
"Colorado",79,"covid","US","web","2020-05-17"
"Montana",78,"covid","US","web","2020-05-17"
"Connecticut",76,"covid","US","web","2020-05-17"
"Arizona",76,"covid","US","web","2020-05-17"
"Michigan",76,"covid","US","web","2020-05-17"
"Rhode Island",75,"covid","US","web","2020-05-17"
"Oregon",75,"covid","US","web","2020-05-17"
"Hawaii",74,"covid","US","web","2020-05-17"
"California",73,"covid","US","web","2020-05-17"
"Idaho",71,"covid","US","web","2020-05-17"
"Utah",71,"covid","US","web","2020-05-17"
"Virginia",71,"covid","US","web","2020-05-17"
"Pennsylvania",71,"covid","US","web","2020-05-17"
"New Jersey",70,"covid","US","web","2020-05-17"
"Kansas",70,"covid","US","web","2020-05-17"
"New York",68,"covid","US","web","2020-05-17"
"Maryland",67,"covid","US","web","2020-05-17"
"Wyoming",67,"covid","US","web","2020-05-17"
"Indiana",67,"covid","US","web","2020-05-17"
"North Dakota",66,"covid","US","web","2020-05-17"
"Kentucky",65,"covid","US","web","2020-05-17"
"Missouri",64,"covid","US","web","2020-05-17"
"Texas",62,"covid","US","web","2020-05-17"
"Tennessee",62,"covid","US","web","2020-05-17"
"Ohio",62,"covid","US","web","2020-05-17"
"North Carolina",61,"covid","US","web","2020-05-17"
"Georgia",61,"covid","US","web","2020-05-17"
"Delaware",59,"covid","US","web","2020-05-17"
"Nevada",59,"covid","US","web","2020-05-17"
"Florida",59,"covid","US","web","2020-05-17"
"Arkansas",56,"covid","US","web","2020-05-17"
"Alabama",55,"covid","US","web","2020-05-17"
"South Carolina",55,"covid","US","web","2020-05-17"
"Oklahoma",55,"covid","US","web","2020-05-17"
"West Virginia",54,"covid","US","web","2020-05-17"
"Mississippi",51,"covid","US","web","2020-05-17"
"Louisiana",48,"covid","US","web","2020-05-17"
"South Dakota",97,"covid","US","web","2020-05-24"
"Minnesota",95,"covid","US","web","2020-05-24"
"Vermont",88,"covid","US","web","2020-05-24"
"Massachusetts",83,"covid","US","web","2020-05-24"
"New Hampshire",80,"covid","US","web","2020-05-24"
"Alaska",79,"covid","US","web","2020-05-24"
"Wisconsin",79,"covid","US","web","2020-05-24"
"Montana",77,"covid","US","web","2020-05-24"
"Iowa",77,"covid","US","web","2020-05-24"
"Maine",77,"covid","US","web","2020-05-24"
"Illinois",77,"covid","US","web","2020-05-24"
"Rhode Island",77,"covid","US","web","2020-05-24"
"New Mexico",76,"covid","US","web","2020-05-24"
"Colorado",75,"covid","US","web","2020-05-24"
"Washington",73,"covid","US","web","2020-05-24"
"Oregon",73,"covid","US","web","2020-05-24"
"Nebraska",72,"covid","US","web","2020-05-24"
"Connecticut",72,"covid","US","web","2020-05-24"
"Pennsylvania",71,"covid","US","web","2020-05-24"
"New Jersey",70,"covid","US","web","2020-05-24"
"California",70,"covid","US","web","2020-05-24"
"Maryland",69,"covid","US","web","2020-05-24"
"Michigan",69,"covid","US","web","2020-05-24"
"North Dakota",68,"covid","US","web","2020-05-24"
"Virginia",68,"covid","US","web","2020-05-24"
"Arizona",65,"covid","US","web","2020-05-24"
"Hawaii",64,"covid","US","web","2020-05-24"
"Utah",64,"covid","US","web","2020-05-24"
"Idaho",63,"covid","US","web","2020-05-24"
"Kansas",62,"covid","US","web","2020-05-24"
"Delaware",62,"covid","US","web","2020-05-24"
"New York",61,"covid","US","web","2020-05-24"
"West Virginia",60,"covid","US","web","2020-05-24"
"Arkansas",60,"covid","US","web","2020-05-24"
"Kentucky",59,"covid","US","web","2020-05-24"
"Missouri",59,"covid","US","web","2020-05-24"
"Nevada",59,"covid","US","web","2020-05-24"
"Indiana",58,"covid","US","web","2020-05-24"
"North Carolina",57,"covid","US","web","2020-05-24"
"Ohio",57,"covid","US","web","2020-05-24"
"Texas",56,"covid","US","web","2020-05-24"
"Oklahoma",55,"covid","US","web","2020-05-24"
"Tennessee",54,"covid","US","web","2020-05-24"
"Wyoming",53,"covid","US","web","2020-05-24"
"Florida",53,"covid","US","web","2020-05-24"
"Georgia",53,"covid","US","web","2020-05-24"
"Alabama",50,"covid","US","web","2020-05-24"
"South Carolina",46,"covid","US","web","2020-05-24"
"Mississippi",44,"covid","US","web","2020-05-24"
"Louisiana",43,"covid","US","web","2020-05-24"
"Alaska",100,"covid","US","web","2020-05-31"
"South Dakota",97,"covid","US","web","2020-05-31"
"Vermont",93,"covid","US","web","2020-05-31"
"Montana",85,"covid","US","web","2020-05-31"
"New Hampshire",82,"covid","US","web","2020-05-31"
"New Mexico",80,"covid","US","web","2020-05-31"
"Maine",76,"covid","US","web","2020-05-31"
"Minnesota",74,"covid","US","web","2020-05-31"
"Massachusetts",73,"covid","US","web","2020-05-31"
"Nebraska",73,"covid","US","web","2020-05-31"
"Wisconsin",73,"covid","US","web","2020-05-31"
"Iowa",72,"covid","US","web","2020-05-31"
"Colorado",72,"covid","US","web","2020-05-31"
"Illinois",71,"covid","US","web","2020-05-31"
"Oregon",71,"covid","US","web","2020-05-31"
"Washington",69,"covid","US","web","2020-05-31"
"Rhode Island",68,"covid","US","web","2020-05-31"
"Hawaii",67,"covid","US","web","2020-05-31"
"Maryland",67,"covid","US","web","2020-05-31"
"New Jersey",67,"covid","US","web","2020-05-31"
"Virginia",66,"covid","US","web","2020-05-31"
"California",66,"covid","US","web","2020-05-31"
"Utah",66,"covid","US","web","2020-05-31"
"Wyoming",65,"covid","US","web","2020-05-31"
"Michigan",65,"covid","US","web","2020-05-31"
"Arkansas",65,"covid","US","web","2020-05-31"
"Kansas",64,"covid","US","web","2020-05-31"
"Pennsylvania",64,"covid","US","web","2020-05-31"
"Arizona",63,"covid","US","web","2020-05-31"
"Connecticut",63,"covid","US","web","2020-05-31"
"Missouri",61,"covid","US","web","2020-05-31"
"North Dakota",60,"covid","US","web","2020-05-31"
"North Carolina",60,"covid","US","web","2020-05-31"
"New York",60,"covid","US","web","2020-05-31"
"West Virginia",60,"covid","US","web","2020-05-31"
"Tennessee",57,"covid","US","web","2020-05-31"
"Delaware",56,"covid","US","web","2020-05-31"
"Indiana",55,"covid","US","web","2020-05-31"
"Nevada",55,"covid","US","web","2020-05-31"
"Ohio",55,"covid","US","web","2020-05-31"
"Idaho",54,"covid","US","web","2020-05-31"
"Kentucky",53,"covid","US","web","2020-05-31"
"Georgia",52,"covid","US","web","2020-05-31"
"South Carolina",51,"covid","US","web","2020-05-31"
"Oklahoma",51,"covid","US","web","2020-05-31"
"Texas",51,"covid","US","web","2020-05-31"
"Alabama",50,"covid","US","web","2020-05-31"
"Florida",50,"covid","US","web","2020-05-31"
"Mississippi",45,"covid","US","web","2020-05-31"
"Louisiana",43,"covid","US","web","2020-05-31"
"Vermont",100,"covid","US","web","2020-06-07"
"Alaska",97,"covid","US","web","2020-06-07"
"Montana",95,"covid","US","web","2020-06-07"
"South Dakota",94,"covid","US","web","2020-06-07"
"Minnesota",85,"covid","US","web","2020-06-07"
"New Hampshire",82,"covid","US","web","2020-06-07"
"Maine",78,"covid","US","web","2020-06-07"
"New Mexico",77,"covid","US","web","2020-06-07"
"Arizona",76,"covid","US","web","2020-06-07"
"Massachusetts",75,"covid","US","web","2020-06-07"
"Utah",73,"covid","US","web","2020-06-07"
"Hawaii",72,"covid","US","web","2020-06-07"
"Washington",71,"covid","US","web","2020-06-07"
"Colorado",70,"covid","US","web","2020-06-07"
"Wisconsin",70,"covid","US","web","2020-06-07"
"Iowa",68,"covid","US","web","2020-06-07"
"Nebraska",67,"covid","US","web","2020-06-07"
"Maryland",66,"covid","US","web","2020-06-07"
"Rhode Island",66,"covid","US","web","2020-06-07"
"Virginia",65,"covid","US","web","2020-06-07"
"North Dakota",65,"covid","US","web","2020-06-07"
"Arkansas",64,"covid","US","web","2020-06-07"
"Illinois",64,"covid","US","web","2020-06-07"
"Connecticut",64,"covid","US","web","2020-06-07"
"Oregon",63,"covid","US","web","2020-06-07"
"Michigan",62,"covid","US","web","2020-06-07"
"New Jersey",62,"covid","US","web","2020-06-07"
"Kentucky",61,"covid","US","web","2020-06-07"
"California",61,"covid","US","web","2020-06-07"
"Wyoming",60,"covid","US","web","2020-06-07"
"Kansas",60,"covid","US","web","2020-06-07"
"Pennsylvania",58,"covid","US","web","2020-06-07"
"North Carolina",58,"covid","US","web","2020-06-07"
"Idaho",56,"covid","US","web","2020-06-07"
"Missouri",56,"covid","US","web","2020-06-07"
"Indiana",55,"covid","US","web","2020-06-07"
"Texas",55,"covid","US","web","2020-06-07"
"Delaware",54,"covid","US","web","2020-06-07"
"South Carolina",53,"covid","US","web","2020-06-07"
"West Virginia",53,"covid","US","web","2020-06-07"
"Tennessee",53,"covid","US","web","2020-06-07"
"Florida",52,"covid","US","web","2020-06-07"
"Georgia",52,"covid","US","web","2020-06-07"
"New York",52,"covid","US","web","2020-06-07"
"Ohio",52,"covid","US","web","2020-06-07"
"Mississippi",51,"covid","US","web","2020-06-07"
"Alabama",48,"covid","US","web","2020-06-07"
"Oklahoma",48,"covid","US","web","2020-06-07"
"Nevada",48,"covid","US","web","2020-06-07"
"Louisiana",34,"covid","US","web","2020-06-07"
"Vermont",100,"covid","US","web","2020-06-14"
"Alaska",95,"covid","US","web","2020-06-14"
"Arizona",81,"covid","US","web","2020-06-14"
"Montana",76,"covid","US","web","2020-06-14"
"New Hampshire",71,"covid","US","web","2020-06-14"
"Utah",68,"covid","US","web","2020-06-14"
"Minnesota",65,"covid","US","web","2020-06-14"
"South Dakota",64,"covid","US","web","2020-06-14"
"Oregon",63,"covid","US","web","2020-06-14"
"Iowa",63,"covid","US","web","2020-06-14"
"Maine",63,"covid","US","web","2020-06-14"
"Massachusetts",63,"covid","US","web","2020-06-14"
"Washington",60,"covid","US","web","2020-06-14"
